SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
,,,,M4x10 Screw,5,5,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,5,,,MS,1,,,,,,,Assembly,Fastener,,Non Wire Rack Parts,,,,,,,,,,,,,,,
12,373-53837,2,,REAR COVER (UP),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.50,542.60,775.20,4.95,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,0,,,Y,,,,,,,,
13,373-53838,1,,FRONT COVER (DOWN),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,585.60,506.30,2.79,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,4,,,Y,,,,,,,,
14,373-53839,2,,FRONT COVER (MID),1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,587.10,813.90,4.50,,,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Updated on 10.01.2015 - Qty removed in 80KVA MBS,,,4,,,Y,,,,,,,,
15,373-53840,2,,FIXTURE PLATE(BATT IND),1,0,0,1,0,0,1,1, ,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,184.5,520.5,1.13,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,10,,,Y,,,,,,,,
16,373-53841,1,,SUPPORT PLATE,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,218.00,166.00,0.43,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,8,Y,,Y,,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,4,,4,,,MS,4,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
17,373-53842,0,,SUPPORT PLATE (INDUCTOR),2,0,0,2,0,0,2,2,0,0,2,2,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,,0,0,#N/A,0,,,,,,2,,2,,,SGCC,1,1.50,367.00,153.00,0.66,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,8,Y,,Y,,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),16,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,16,,16,,,MS,8,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
18,373-53843,1,,FIXTURE PLATE(INDUCTOR1),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,184.50,520.30,1.13,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,12,Y,,Y,,,,,,,,
