SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),9,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,15,,15,,,MS,15,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,updated on 10.01.2015 - M4 Clinch nut changed to M5,,,,,,,,,,,,,,
33,373-53861,4,,,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,185.00,1864.50,4.06,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,7,Y,,Y,,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),14,0,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,14,,14,,,MS,14,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),2,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,2,,2,,,MS,2,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
34,373-53862,3,,SUPPORT PLATE (PM),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,2.00,636.10,818.70,8.18,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,54,Y,,Y,,,,,,,,
,,,373-53862-PartB,,4,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,4,,4,,,SGCC,4,1.20,26.40,303.60,0.08,,,Sub Parts,Sheet Metal,ACE,0,,,N,3,N,,,,,,,,,,
,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),37,0,0,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,37,,37,,,MS,37,2.00,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,16,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,16,,16,,,SS,16,2.00,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
35,373-53863,3,,,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,705.1,861.7,7.15,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,22,Y,Y,Y,Y,,,,,,,
,,,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),12,0,0,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,12,,12,,,MS,12,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
36,373-53864,1,,STS FIXED PLATE (RIGHT),1,2,0,1,2,2,1,1,0,2,1,1,2,1,0,0,1,0,1,2,2,2,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,2,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,63.00,668.30,0.50,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,3,Y,,Y,,TOP,,,,,,
,,,SE-FH M4-10,Stud  M4X10,2,4,0,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,2,,2,,,MS,2,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
37,373-53865,1,,STS FIXED PLATE (LEFT),1,2,0,1,2,2,1,1,0,2,1,1,2,1,0,0,1,0,1,2,2,2,0,1,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,2,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,63.00,668.30,0.50,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,3,Y,,Y,,,,,,,,
38,373-53866,2,,SIDE PLATE (RIGHT),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,,1,1,#N/A,0,,,,,,,1,1,,EN327N,SGCC,1,1.20,813.90,1904.90,14.60,3.10,0.69,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,5,,,Y,Y,,,,,,,
39,373-53867,5,,FIXTURE PLATE(MINI SLOT),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,389.50,399.50,1.83,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,9,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,6,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,6,,6,,,MS,6,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-FH M4-12,Stud  M4X12,7,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,7,,7,,,MS,7,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
40,373-53868,1,,FIXTURE PLATE (N-CONTACTOR),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,92.50,586.60,0.64,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,4,,,Y,,,,,,,,
41,373-53869,01A,,SUPPORT PLATE (MINI SLOT),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,161.00,241.10,0.37,,,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,,Y,5,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-10,Stand Off M3X10,4,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,4,,,MS,4,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
,,,SE-FH M4-8,Stud  M4X8,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,1,,,MS,1,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
42,373-53870,02A,,L FRAME (RIGHT-MID),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,,SGCC,1,1.50,518.00,496.00,3.03,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,0,,,Y,,,,,,,,
43,373-53871,4,,L FRAME (LEFT-MID),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,,SGCC,1,1.20,173.40,654.50,1.07,,,Assembly,Sheet Metal,ACE,Wire Rack Parts,,,,16,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,0,,0,,,4,4,4,,4,,4,,MS,4,1.20,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
44,373-53872,4,,L FRAME (LEFT DOWN),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,167.60,698.00,1.38,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,,0,0,8,Y,0,Y,0,,,,,,,
0,0,0,SE-S M4-2,Clinch Nut M4-1.5/2.0mm(Zinc Blue Platting),0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,,,8,8,8,,8,,8,0,MS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,,,,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,1,1,1,,1,,1,0,MS,1,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
45,373-53873,1,0,L FRAME (UP),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.00,37.00,652.00,0.19,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,0,0,Y,0,0,0,0,,,,
46,373-53874,1,0,FIXTURE PLATE (BAT INDUCTOR),0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,1.50,218.00,166.00,0.43,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1 mm(Zinc Blue Platting),0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,,,8,4,4,,8,,4,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
47,373-53875,01A,0,SUPPORT PLATE (INDUCTOR2),0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,0,2,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,1.50,174.50,520.50,1.07,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,16,0,0,Y,0,0,0,0,,,,
48,373-53876,4,0,TOP  COVER PLATE,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,730.10,877.00,7.54,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,22,Y,Y,Y,Y,0,0,0,,,,
0,0,0,373-53876-Part6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,1,1,1,,1,,1,0,H32-5052,1,2.00,106.00,306.00,0.18,0.00,0.00,Sub Parts,Sheet Metal,State Ent,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,,,12,12,12,,12,,12,0,MS,12,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,TOP,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,,,6,6,6,,6,,6,0,SS,6,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,373-53876-part-6,0,0,top plate ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,2.00,106.00,306.00,0.51,0.00,0.00,Sub Parts,Sheet Metal,ACE,wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
49,373-53879,4,0,SUPPORT PLATE (F-R),0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,185.00,1862.50,4.06,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
50,373-53880,3,0,SUPPORT PLATE (F-L),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1862.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
51,373-54919,1,0,SUPPORT PLATE(R-R-1) 1342L EATON,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,373-53881-PART NO CHANGED FOR OIL CAP,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-S M8-1,Clinch Nut M8-1.5/2.0mm(Zinc Blue Platting),0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
52,373-54918,1,0,SUPPORT PLATE(R-L-1) 1342L EATON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,373-53882-PART NO CHANGED FOR OIL CAP,Y,7,0,0,Y,0,0,0,0,,,,
0,0,0,SE-S M8-1,Clinch Nut M8-1.5/2.0mm(Zinc Blue Platting),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,,,2,2,2,,2,,2,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
53,373-53883,1,0,SUPPORT PLATE (TERMINAL),1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,2.00,169.00,743.00,1.97,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,9,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-FH M6-10,Stud  M6X10,22,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,22,,22,,0,MS,22,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
54,373-53884,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,673.10,855.70,9.04,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,59,Y,0,Y,0,0,0,0,,,,
0,0,0,373-53884-Part1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,,,,4,4,,4,,4,0,SGCC,4,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,373-53884-Part2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,,,,3,3,,3,,3,0,SGCC,3,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,373-53884-Part3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,1,1,,1,,1,0,SGCC,1,1.20,28.80,308.40,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,0,0,373-53884-Part4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,1,1,,1,,1,0,H32-5052,1,2.00,106.00,307.00,0.18,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,,,,37,37,,37,,37,0,MS,37,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-S M4-2,Clinch Nut M4-1.5/2.0mm(Zinc Blue Platting),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,,,,3,3,,3,,3,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,,,,37,37,,37,,37,0,SS,37,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
55,373-53885,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,2.00,673.10,855.70,9.04,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,59,Y,0,Y,0,0,0,0,,,,
0,0,0,373-53885-Part1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,,,4,4,4,,4,,4,0,SGCC,4,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,373-53885-Part2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,,,3,3,3,,3,,3,0,SGCC,3,1.20,26.40,303.60,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,0,0,373-53885-Part3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,1,1,1,,1,,1,0,SGCC,1,1.20,28.80,308.40,0.08,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,0,0,373-53885-Part4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,,1,1,1,,1,,1,0,H32-5052,1,2.00,106.00,307.00,0.18,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,,,12,12,12,,12,,12,0,MS,12,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,,,37,37,37,,37,,37,0,SS,37,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
56,373-53886,5,0,SLIDE FIXED PLATE(LEFT-1) 1342L EATON,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,,1,,1,,1,0,SGCC,1,1.50,282.00,410.50,1.36,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,REV NO CHANGED 04 TO 05 FOR OILCAP ,Y,6,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-8,Stand Off M3X8 ,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,,,6,,6,,6,,6,0,MS,6,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
57,373-53887,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,#N/A,0,,,,,,,1,,,0,SGCC,1,1.20,486.40,423.20,1.94,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
